	ar
Do you want to go to the movies?	هل تريد أن تذهب إلى السينما؟
Have you seen this movie?	هل رأيت هذا الفيلم؟
He said you like to watch movies.	وقال كنت ترغب في مشاهدة الأفلام.
How tall are you?	كم طولك؟
Is the bank far?	هو الآن البنك؟
Is there a movie theater nearby?	هل هناك مسرح في مكان قريب؟
What do people usually do in the summer in Los Angeles?	ماذا يفعل الناس عادة في فصل الصيف في لوس انجليس؟
What kind of music do you like?	أي نوع من الموسيقى تفضل؟
What's your favorite food?	ما هو طعامك المفضل؟
What time does the movie start?	متى يبدأ الفلم؟
Who was your teacher?	الذي كان معلمك؟
Would you like to have dinner with me?	هل تحب أن تتناول العشاء معي؟
Would you like to rent a movie?	هل ترغب في استئجار الفيلم؟
Can I see your passport please?	يمكنني رؤية جواز سفرك من فضلك؟
Can I take a message?	هل يمكنني اخذ رسالة؟
Can I try it on?	هل يمكنني تجربتها؟
Can we sit over there?	يمكن أن نجلس هناك؟
Did you come with your family?	أتيت مع عائلتك؟
Do you think it's possible?	هل تعتقد أنه من الممكن؟
Here's my number.	هذا رقمي.
He's not in right now.	انه ليس في الوقت الحالي.
"Hi, is Mrs. Smith there, please?"	مرحبا، والسيدة سميث هناك، من فضلك؟
"I'd like some water too, please."	أريد بعض الماء أيضا، من فضلك.
"I'd like to buy a bottle of water, please."	أود أن شراء زجاجة من الماء، من فضلك.
I'd like to buy something.	أود أن شراء شيء ما.
I'd like to go to the store.	أود أن تذهب إلى المتجر.
I'd like to rent a car.	كنت ترغب في استئجار سيارة.
I'd like to send a fax.	كنت ترغب في إرسال الفاكس.
I'd like to send this to America.	كنت ترغب في إرسال هذا إلى أمريكا.
I'd like to speak to Mr. Smith please.	أود التحدث إلى السيد سميث من فضلك.
"I have three children, two girls and one boy."	لدي ثلاثة أطفال، بنتين وولد واحد.
I'll be right back.	سأعود حالا.
I'll call back later.	سوف أعاود الاتصال بك لاحقا.
I'll call you on Friday.	سأتصل بك غدا الجمعة.
I'll teach you.	سوف اعلمك.
I'm ok.	أنا بخير.
I need some tissues.	انا بحاجة الى بعض الأنسجة.
Is there an English speaking guide?	هل هناك دليل على التحدث باللغة الإنجليزية؟
I want to give you a gift.	انا اريد ان اعطيك هدية.
Male or female?	ذكر أم أنثى؟
My cell phone doesn't have good reception.	لم يقم هاتفي الخلوي حسن الاستقبال.
My cell phone doesn't work.	لا يعمل هاتفي الخلوي.
Please take off your shoes.	من فضلك اخلع حذاءك.
"Sorry, I think I have the wrong number."	عذرا، أعتقد أن لدينا عددا خاطئا.
What is the area code?	ما هو رمز المنطقة؟
What's the name of the company you work for?	ما هو اسم الشركة التي تعمل ل؟
What's wrong?	ماالخطب؟
What's your address?	ماهو عنوانك؟
Where can I find a hospital?	أين يمكنني العثور على المستشفى؟
Where's the closest restaurant?	أين أقرب مطعم؟
Where's the pharmacy?	أين الصيدلية؟
Who are you?	من أنت؟
Who is that?	من ذاك؟
Who would you like to speak to?	من الذي تود أن تتحدث إليه؟
Will you take me home?	سوف يأخذني المنزل؟
Would you like water or milk?	هل ترغب الماء أو الحليب؟
Be careful.	كن حذرا.
Be careful driving.	كن حذر وقت القيادة.
Can you translate this for me?	يمكنك ترجمة هذا بالنسبة لي؟
Chicago is very different from Boston.	شيكاغو هي مختلفة جدا من بوسطن.
Don't worry.	لا تقلق.
Everyone knows it.	الجميع يعرف ذلك.
Everything is ready.	كل شيء جاهز.
Excellent.	ممتاز.
From time to time.	من وقت لآخر.
Good idea.	فكره جيده.
He likes it very much.	إنه يحب ذلك كثيرا.
Help!	مساعدة!
He's coming soon.	انه قادم قريبا.
He's right.	كان على حق.
He's very annoying.	انه أمر مزعج جدا.
He's very famous.	انه مشهور جدا.
How are you?	كيف حالكم؟
How's work going?	كيف يجري العمل؟
Hurry!	عجل!
I ate already.	أكلت بالفعل.
I can't hear you.	لا أستطيع أن أسمعك.
I'd like to go for a walk.	أود أن تذهب في نزهة على الأقدام.
I don't know how to use it.	أنا لا أعرف كيفية استخدامها.
I don't like him.	أنا لا أحبه.
I don't like it.	أنا لا أحب ذلك.
I don't speak very well.	أنا لا أتكلم بشكل جيد للغاية.
I don't understand.	أنا لا أفهم.
I don't want it.	أنا لا أريد ذلك.
I don't want that.	أنا لا أريد ذلك.
I don't want to bother you.	أنا لا أريد أن أزعجك.
I feel good.	أنا أشعر بأني بخير.
"If you need my help, please let me know."	إذا كنت بحاجة إلى مساعدة بلدي، واسمحوا لي أن أعرف.
I get off of work at 6.	أحصل على الخروج من العمل في 6.
I have a headache.	عندي صداع.
I hope you and your wife have a nice trip.	أتمنى لك ولزوجتك لديها رحلة لطيفة.
I know.	أنا أعلم.
I like her.	انا معجب بها.
I'll call you when I leave.	سأتصل بك عندما أغادر.
I'll come back later.	انا سوف اعود لاحقا.
I'll pay.	سأدفع.
I'll take it.	أنا سأخذه.
I'll take you to the bus stop.	سوف يأخذك إلى محطة للحافلات.
I lost my watch.	لقد فقدت ساعتي.
I love you.	أحبك.
I'm an American.	انا امريكي.
I'm cleaning my room.	انا انظف غرفتي.
I'm cold.	أنا بردان.
I'm coming to pick you up.	أنا قادم لاصطحابك.
I'm going to leave.	انا ذاهب الى مغادرة البلاد.
"I'm good, and you?"	انا بخير وأنت؟
I'm happy.	أنا سعيد.
I'm hungry.	إنني جائع أنا جوعان.
I'm married.	انا متزوج.
I'm not busy.	انا لست مشغول.
I'm not married.	لست متزوجا.
I'm not ready yet.	أنا لست مستعدة بعد.
I'm not sure.	لست متأكدا.
"I'm sorry, we're sold out."	أنا آسف، نحن بيعت.
I'm thirsty.	عطشان.
I'm very busy. I don't have time now.	أنا مشغول جدا. ليس لدي وقت الآن.
I need to change clothes.	ولست بحاجة لتغيير الملابس.
I need to go home.	أنا أحتاج أن أذهب للمنزل.
I only want a snack.	أريد فقط تناول وجبة خفيفة.
Is Mr. Smith an American?	هو السيد سميث أمريكي؟
Is that enough?	هل هذا كاف؟
I think it's very good.	اعتقد انها جيدة جدا.
I think it tastes good.	أعتقد أنه الأذواق جيدة.
I thought the clothes were cheaper.	اعتقدت الملابس أرخص.
It's longer than 2 miles.	إنها أطول من 2 ميل.
I've been here for two days.	لقد كنت هنا لمدة يومين.
I've heard Texas is a beautiful place.	لقد سمعت ولاية تكساس هو مكان جميل.
I've never seen that before.	أنا لم أر قط من قبل.
I was about to leave the restaurant when my friends arrived.	كنت على وشك مغادرة المطعم عندما وصل أصدقائي.
Just a little.	قليلا فقط.
Just a moment.	لحظة واحدة.
Let me check.	دعني أتحقق.
Let me think about it.	دعني افكر به.
Let's go have a look.	دعونا نذهب لإلقاء نظرة.
Let's practice English.	ممارسة دعونا الإنجليزية.
May I speak to Mrs. Smith please?	هل لي أن أتحدث إلى السيدة سميث من فضلك؟
More than that.	أكثر من ذلك.
Never mind.	لا يهم.
Next time.	المره القادمة.
No.	لا.
Nonsense.	كلام فارغ.
"No, thank you."	لا، شكرا.
Nothing else.	لا شيء آخر.
Not recently.	ليس مؤخرا.
Not yet.	ليس بعد.
Of course.	بالطبع بكل تأكيد.
Okay.	حسنا.
Please fill out this form.	يرجى ملء هذا النموذج.
Please take me to this address.	يرجى يأخذني إلى هذا العنوان.
Please write it down.	يرجى الكتابة إلى أسفل.
Really?	هل حقا؟
Right here.	هنا.
Right there.	هناك مباشرة.
See you later.	أراك لاحقا.
