both of them	كلاهما
both of us	كلانا
both of you	كلاكما
all of them	كل منهم
all of us	كلنا
That's all.	هذا كل شئ.
good question	سؤال جيد
bad question	السؤال سيئة
No problem	ليس هناك أى مشكلة
What is your phone number?	ما هو رقم هاتفك؟
What is your email address	ما هو عنوان البريد الإلكتروني الخاص بك
Where are you going?	إلى أين تذهب؟
Where are we going?	إلى أين نحن ذاهبون؟
happy birthday	عيد ميلاد سعيد
enjoy your meal	أتمنى لك وجبة شهية
enjoy yourself	استمتع
I have to go now	يجب أن أذهب الآن
I have to go	يجب على أن أذهب
I have to go to work	يتوجب علي الذهاب إلى العمل
I have to go home	يجب ان اذهب إلى المنزل
I have to go to school	علي الذهاب إلى المدرسة
I have to go to the bathroom	علي ان اذهب الى الحمام
are you sure?	هل أنت واثق؟
I'm not sure	لست متأكدا
don't worry about it	لا تقلق بشأن ذلك
Can you explain?	هل يمكن ان توضح؟
I don't know how to explain	أنا لا أعرف كيف أشرح
How can I explain	كيف لي أن أشرح
Good explanation	تفسير جيد
for example	فمثلا
It is a kind of ...	بل هو نوع من ...
I'm at work	انا في العمل
I am going to work	انا ذاهب الى العمل
I am going to school	أنا ذاهب للمدرسة
I will go to work	سوف اذهب للعمل
I will go to school	أنا سوف أذهب إلى المدرسة
I went to school today	ذهبت إلى المدرسة اليوم
I went to work yesterday	ذهبت إلى العمل أمس
What do you mean?	ماذا تعني؟
I mean...	انا اعني...
I meant...	قصدت...
Who do you work for?	لمن تعمل؟
What is your profession?	ما هي مهنتك؟
My work is done	عملي قد انتهي
after work	بعد العمل
I want to learn Russian	اريد ان اتعلم الروسية
I need to learn more	أنا بحاجة لمعرفة المزيد
Could you please help me? (to a man)	هلا ساعدتني من فضلك؟ (إلى رجل)
Can you help me?	هل تستطيع مساعدتي؟
Can I help you?	أيمكنني مساعدتك؟
Do you need help?	هل تحتاج مساعدة؟
I am helping	أنا أساعد
He is helping	وتساعد
You are helping	كنت مساعدة
You helped me	لقد ساعدتني
I helped you	انا ساعدتك
I'm lost	انا ضائع
How much does it cost?	كم يكلف؟
How much do you have?	كم معك؟
How much do you need?	كم تريد؟
How much do you want?	كم تريد؟
How much do you weigh?	كم وزنك؟
How many times	كم مرة
How many kids do you have?	كم طفلا لديك؟
How many dogs do you have?	كم عدد الكلاب التي لديك؟
Where are you from?	من اين انت؟
What is your nationality?	ما هيه جنسيتك؟
I am from the USA	انا من الولايات المتحدة
Where do you live?	أين تعيش؟
I live in an apartment.	انا اعيش في شقة.
I live in Texas	أنا أعيش في ولاية تكساس
What's the weather today?	ما هو الطقس اليوم؟
What time is it?	أي ساعة؟
Where is the bathroom?	أين هو الحمام؟
How old are you?	كم عمرك؟
What is your address?	ما هو عنوانك؟
What is the address?	ما هو العنوان؟
Are you in bed?	هل انت على السرير؟
Can you read this?	يمكنك أن تقرأ هذا؟
I can read this	أستطيع أن أقرأ هذا
I read it yesterday	قرأته أمس
I read this book.	قرأت هذا الكتاب.
I read the newspaper	قرأت الصحيفة
I like to read books	احب ان اقرأ الكتب
What will you do this weekend?	ماذا ستفعل نهاية الأسبوع؟
Why did your mother call?	لماذا دعوة أمك؟
You are shopping for clothes	كنت تسوق لشراء الملابس
Did you buy anything?	هل اشتريت شيئا؟
Are you returning to work?	هل العودة إلى العمل؟
I liked our conversation.	أحببت حديثنا.
I am here on vacation.	وأنا هنا في إجازة.
I am here on business	انا هنا في عمل
Here is my house	هنا هو بيتي
I love it here.	أحبه هنا.
What do you like about it?	ماذا يعجبك به؟
What do you like to do?	ماذا تحب ان تفعل؟
What do you like about me?	ماالذي يعجبك في؟
What do you like and dislike?	ماذا تحب وكراهية؟
What do you like to eat?	ماذا تريد أن تأكل؟
What do you like to drink?	ماذا تحب ان تشرب؟
What do you like to read?	ماذا تحب أن تقرأ؟
I like the weather.	أنا أحب الطقس.
I like the food.	انا احب الطعام.
How is the weather today?	كيف حال الطقس اليوم؟
It is going to rain.	سوف تمطر.
It is going to be sunny.	فإنه سيكون مشمس.
It is going to be cold.	أريد لها أن تكون باردة.
I am tired.	أنا متعب.
It is going to snow tomorrow	أريد لها أن الثلوج غدا
I am tired of this.	انا تعبت من هذا.
I am tired of waiting.	أنا تعبت من الانتظار.
I am getting tired.	أنا تعبوا.
Are you tired?	هل انت مرهق؟
What did he say?	ماذا قال؟
I will tell you.	سأخبرك.
I will tell you later.	سأخبرك لاحقا.
I will tell you tomorrow.	سوف أخبرك غدا.
I want to tell you.	اريد ان اخبرك.
I want to tell you about my day.	أريد أن أقول لكم عن بلدي اليوم.
Could you tell me about yourself	هل تستطيع ان تحدثني عن نفسك
Could you tell me about yourself	هل تستطيع ان تحدثني عن نفسك
She is eating.	أنها تأكل.
Do you want to eat?	هل تريد أن تأكل؟
It is time to eat	حان الوقت لتناول الطعام
Let's eat	دعونا تأكل
I ate	انا اكلت
What did you eat?	ماذا اكلت؟
I'm glad to see you.	أنا سعيد لرؤيتك.
I'm glad to see her.	أنا سعيد لرؤيتها.
I'm very happy to see you.	أنا سعيد جدا لرؤيتكم.
I want to see you.	اريد ان اراك.
Tom wants to see us.	توم يريد أن يرانا.
Tom wants to see me.	توم يريد أن يراني.
I have to see this.	يجب أن أرى هذا.
I wanted to see Tom.	أردت أن أرى توم.
I'm looking forward to seeing you.	أنا أتطلع إلى رؤيتك.
I want to see more.	أريد رؤية المزيد.
I'm glad to see you here.	أنا سعيد لرؤيتك هنا.
We should see each other more often.	علينا أن نرى بعضنا البعض في كثير من الأحيان.
We need to see each other more often.	نحن بحاجة الى ان نرى بعضنا البعض في كثير من الأحيان.
Can he see us?	هل يستطيع أن يرانا؟
I want to see them.	أريد أن أراهم.
I hate seeing you like this.	أنا أكره رؤيتكم مثل هذا.
Remember when...	تذكر عندما...
Do you remember when...	هل تذكرين عندما...
Some words	بعض الكلمات
I remember perfectly.	أتذكر تماما.
Who remembers?	من يتذكر؟
Do you remember me?	هل تتذكرني؟
Do you remember Tom?	هل تذكر توم؟
Oh, yes, I remember.	أوه، نعم، أتذكر.
I don't remember.	أنا لا أتذكر.
I remember everything.	أتذكر كل شيء.
Do you remember this game?	هل تذكر هذه اللعبة؟
I remember many things.	أتذكر أشياء كثيرة.
I don't remember exactly.	أنا لا أتذكر بالضبط.
